"id","date","artists","details","info","location","title"
"27-126","2016-11-27 17:30:00 +0200","Eufonia","Auditorium de l'Opéra de Bordeaux","","",""
"29-128","2016-11-29 18:00:00 +0200","A Propos De l’Heure Espagnole De Ravel","Grand Théâtre - Salon Fouquet","","",""
"1-130","2016-12-01 20:00:00 +0200","Ravel / Debussy","Auditorium de l'Opéra de Bordeaux","ONBA / Paul Daniel","",""
"2-132","2016-12-02 19:00:00 +0200","Ravel / Debussy","Auditorium de l'Opéra de Bordeaux","ONBA / Paul Daniel","",""
"2-134","2016-12-02 20:30:00 +0200","Petite Messe Solennelle De Rossini","Angoulême","","",""
"3-136","2016-12-03 18:00:00 +0200","À La Découverte De l’Orchestre","Auditorium de l'Opéra de Bordeaux","Le Boléro de Ravel","","dès 9 ans"
"4-138","2016-12-04 11:00:00 +0200","Musiciens De l’ONBA","Grand-Théâtre de Bordeaux","Tristan Liehr / Cécile Coppola / Cécile Berry / Aurélienne Brauner","",""
"4-140","2016-12-04 15:00:00 +0200","Elias","Auditorium de l'Opéra de Bordeaux","MENDELSSOHN","",""
"6-142","2016-12-06 20:00:00 +0200","Gautier Capuçon / Frank Braley","Auditorium de l'Opéra de Bordeaux","","",""
"10-144","2016-12-10 16:00:00 +0200","Les Deux Aveugles Et Pomme d’Api","Bordeaux","","",""
"12-146","2016-12-12 18:00:00 +0200","Autour Du Chœur De l’Opéra National De Bordeaux","Grand Théâtre - Salon Fouquet","","",""
"13-148","2016-12-13 18:00:00 +0200","Rencontre Avec Les Artistes : Coppélia","Grand-Théâtre de Bordeaux","","",""
"14-150","2016-12-14 20:00:00 +0200","Coppélia","Grand-Théâtre de Bordeaux","Charles Jude / Léo Delibes","",""
"15-152","2016-12-15 20:00:00 +0200","Coppélia (Audiodescription)","Grand-Théâtre de Bordeaux","","",""
"15-154","2016-12-15 20:00:00 +0200","Radio Classique Concert De Noël","Auditorium de l'Opéra de Bordeaux","NOËL À BROADWAY","",""
"16-156","2016-12-16 19:00:00 +0200","Radio Classique Concert De Noël","Auditorium de l'Opéra de Bordeaux","NOËL À BROADWAY","",""
"16-158","2016-12-16 20:00:00 +0200","Coppélia","Grand-Théâtre de Bordeaux","Charles Jude / Léo Delibes","",""
"17-160","2016-12-17 18:30:00 +0200","Programme De Noël","Mont-de-Marsan","","",""
"17-162","2016-12-17 20:00:00 +0200","Honegger / Dutilleux / Rachmaninov","Auditorium de l'Opéra de Bordeaux","Orchestre Français des Jeunes / David Zinman / Marc Coppey","",""
"18-164","2016-12-18 15:00:00 +0200","Coppélia","Grand-Théâtre de Bordeaux","Charles Jude / Léo Delibes","",""
"18-166","2016-12-18 15:00:00 +0200","Radio Classique Concert De Noël","Auditorium de l'Opéra de Bordeaux","NOËL À BROADWAY","",""
"19-168","2016-12-19 12:30:00 +0200","Chœur De l’Opéra National De Bordeaux","Grand-Théâtre de Bordeaux","Oratorio de Noël et musique de noël","",""
"19-170","2016-12-19 20:00:00 +0200","Coppélia","Grand-Théâtre de Bordeaux","Charles Jude / Léo Delibes","",""
"19-172","2016-12-19 20:00:00 +0200","El Pesebre","Auditorium de l'Opéra de Bordeaux","PABLO CASALS","",""
"20-174","2016-12-20 15:00:00 +0200","Coppélia","Grand-Théâtre de Bordeaux","Charles Jude / Léo Delibes","",""
"20-176","2016-12-20 20:00:00 +0200","Coppélia","Grand-Théâtre de Bordeaux","Charles Jude / Léo Delibes","",""
"21-178","2016-12-21 12:30:00 +0200","Chœur De l’Opéra National De Bordeaux","Grand-Théâtre de Bordeaux","Oratorio de Noël et musique de noël","",""
"21-180","2016-12-21 20:00:00 +0200","Coppélia","Grand-Théâtre de Bordeaux","Charles Jude / Léo Delibes","",""
"22-182","2016-12-22 15:00:00 +0200","Coppélia, Acte 2","Grand-Théâtre de Bordeaux","","","dès 7 ans"
"22-184","2016-12-22 20:00:00 +0200","30 Ans De l'Ensemble Sagittarius","Auditorium de l'Opéra de Bordeaux","Michel Laplénie","",""
"22-186","2016-12-22 20:00:00 +0200","Coppélia","Grand-Théâtre de Bordeaux","Charles Jude / Léo Delibes","",""
"22-188","2016-12-22 20:00:00 +0200","Coppélia","Grand-Théâtre de Bordeaux","Charles Jude / Léo Delibes","",""
"23-190","2016-12-23 15:00:00 +0200","Coppélia","Grand-Théâtre de Bordeaux","Charles Jude / Léo Delibes","",""
"23-192","2016-12-23 20:00:00 +0200","Coppélia","Grand-Théâtre de Bordeaux","Charles Jude / Léo Delibes","",""
"26-194","2016-12-26 20:00:00 +0200","Coppélia","Grand-Théâtre de Bordeaux","Charles Jude / Léo Delibes","",""
"27-196","2016-12-27 15:00:00 +0200","Coppélia","Grand-Théâtre de Bordeaux","Charles Jude / Léo Delibes","",""
"27-198","2016-12-27 20:00:00 +0200","Coppélia","Grand-Théâtre de Bordeaux","Charles Jude / Léo Delibes","",""
"28-200","2016-12-28 20:00:00 +0200","Coppélia","Grand-Théâtre de Bordeaux","Charles Jude / Léo Delibes","",""
"29-202","2016-12-29 15:00:00 +0200","Coppélia, Acte 2","Grand-Théâtre de Bordeaux","","","dès 7 ans"
"29-204","2016-12-29 20:00:00 +0200","Coppélia","Grand-Théâtre de Bordeaux","Charles Jude / Léo Delibes","",""
"30-206","2016-12-30 20:00:00 +0200","Coppélia","Grand-Théâtre de Bordeaux","Charles Jude / Léo Delibes","",""
"31-208","2016-12-31 20:00:00 +0200","Coppélia","Grand-Théâtre de Bordeaux","Charles Jude / Léo Delibes","",""
"4-210","2017-01-04 17:30:00 +0200","Java","Bordeaux","","",""
"8-212","2017-01-08 11:00:00 +0200","Musiciens De l’ONBA","Grand-Théâtre de Bordeaux","Nicolas Mouret / Stéphane Rougier / Alexis Descharmes","",""
"8-214","2017-01-08 15:00:00 +0200","Concert Famille En 10 Langues","Portets","","",""
"10-216","2017-01-10 18:00:00 +0200","Autour Du Candide De Bernstein","Grand Théâtre - Salon Fouquet","","",""
"10-218","2017-01-10 19:00:00 +0200","Chœurs d'Opérette","Auditorium de l'Opéra de Bordeaux","avec 4 solistes","",""
"10-220","2017-01-10 20:30:00 +0200","Brahms / Tchaïkovski / Paganini","Nérac","","",""
"12-222","2017-01-12 20:00:00 +0200","Saint-Saëns / Debussy","Auditorium de l'Opéra de Bordeaux","Orchestre d’Euskadi / Jun Märkl / Javier Perianes","",""
"13-224","2017-01-13 19:00:00 +0200","Saint-Saëns / Debussy","Auditorium de l'Opéra de Bordeaux","Orchestre d’Euskadi / Jun Märkl / Javier Perianes","",""
"14-226","2017-01-14 15:00:00 +0200","Wieland Wagner (1917-1966)","Grand-Théâtre, Salon Lalande","","",""
"15-228","2017-01-15 11:00:00 +0200","Concert En Dix Langues","Grand-Théâtre de Bordeaux","","","dès 9 ans"
"18-230","2017-01-18 18:00:00 +0200","Rencontre Avec Les Artistes : Candide","Grand-Théâtre de Bordeaux","","",""
"18-232","2017-01-18 20:00:00 +0200","Bach / Stockhausen / Beethoven","Auditorium de l'Opéra de Bordeaux","ONBA / Maxime Pascal","",""
"19-234","2017-01-19 20:00:00 +0200","Candide","Grand-Théâtre de Bordeaux","Leonard Bernstein","",""
"20-236","2017-01-20 12:30:00 +0200","Mathilde Etienne Et Emiliano Gonzalez-Toro","Grand-Théâtre de Bordeaux","Midi musical avec le soliste d'Armide","",""
"20-238","2017-01-20 20:00:00 +0200","Candide (Audiodescription)","Grand-Théâtre de Bordeaux","Leonard Bernstein","",""
"21-240","2017-01-21 20:00:00 +0200","Nathalie Stutzmann / Inger Södergren","Auditorium de l'Opéra de Bordeaux","Mélodies sur le thème de l’amour","",""
"22-242","2017-01-22 10:00:00 +0200","Visites À Tous Les Étages !","Grand-Théâtre de Bordeaux","Visite contée","","dès 7 ans"
"22-244","2017-01-22 11:30:00 +0200","Visites À Tous Les Étages !","Grand-Théâtre de Bordeaux","Visite contée","","dès 7 ans"
"22-246","2017-01-22 15:00:00 +0200","Candide (Audiodescription)","Grand-Théâtre de Bordeaux","Leonard Bernstein","",""
"23-248","2017-01-23 20:00:00 +0200","Candide","Grand-Théâtre de Bordeaux","Leonard Bernstein","",""
"24-250","2017-01-24 18:00:00 +0200","A Propos De Fratres De Pärt","Grand Théâtre - Salon Fouquet","","",""
"25-252","2017-01-25 20:00:00 +0200","Candide","Grand-Théâtre de Bordeaux","Leonard Bernstein","",""
"26-254","2017-01-26 20:00:00 +0200","Candide","Grand-Théâtre de Bordeaux","Leonard Bernstein","",""
"27-256","2017-01-27 12:30:00 +0200","Chœur De l’Opéra National De Bordeaux","Grand-Théâtre de Bordeaux","Wagner versus Berlioz, Bizet, Gounod ","",""
"27-258","2017-01-27 19:00:00 +0200","Pärt / Mozart / Bruckner","Auditorium de l'Opéra de Bordeaux","ONBA / Paul Daniel / Vanessa Wagner / Matthieu Arama","",""
"28-260","2017-01-28 20:00:00 +0200","Quatuor Talich / Vanessa Wagner","Auditorium de l'Opéra de Bordeaux","Wolfgang Amadeus Mozart","",""
"29-262","2017-01-29 15:00:00 +0200","Pärt / Mozart / Bruckner","Auditorium de l'Opéra de Bordeaux","ONBA / Paul Daniel / Vanessa Wagner / Matthieu Arama","",""
"31-264","2017-01-31 19:30:00 +0200","Pärt / Mozart / Bruckner","Poitiers","","",""
"4-266","2017-02-04 10:00:00 +0200","Visites À Tous Les Étages !","Grand-Théâtre de Bordeaux","Visite insolite","","dès 7 ans"
"4-268","2017-02-04 11:00:00 +0200","Visites À Tous Les Étages !","Grand-Théâtre de Bordeaux","Visite insolite","","dès 7 ans"
"4-270","2017-02-04 15:00:00 +0200","Arturo Toscanini Et Wagner","Grand-Théâtre, Salon Lalande","","",""
"5-272","2017-02-05 11:00:00 +0200","Quatuor Prométhée","Grand-Théâtre de Bordeaux","Britten / Haydn","",""
"8-274","2017-02-08 19:00:00 +0200","Tiondeposicum","Grand-Théâtre, Salon Boireau","","","dès 6 ans"
"9-276","2017-02-09 20:00:00 +0200","Little Girl Blue From Nina Simone","Auditorium de l'Opéra de Bordeaux","Sonia Wieder-Atherton","",""
"11-278","2017-02-11 14:30:00 +0200","Les Plaisirs De Versailles","Grand-Théâtre, Salon Boireau","","",""
"11-280","2017-02-11 16:00:00 +0200","Concert Des Trois Ténors","Grand-Théâtre, Salon Boireau","","",""
"11-282","2017-02-11 20:00:00 +0200","Fauré","Grand-Théâtre de Bordeaux","Chœur de l’Opéra National de Bordeaux / Salvatore Caputo","",""
"14-284","2017-02-14 18:00:00 +0200","Au Sujet Du Requiem De Fauré","Grand Théâtre - Salon Fouquet","","",""
"15-286","2017-02-15 17:30:00 +0200","Jeu De Mozart","Bordeaux","","",""
"16-288","2017-02-16 20:00:00 +0200","Mozart / Fauré","Auditorium de l'Opéra de Bordeaux","ONBA / Roberto González-Monjas / Thomas Dolié","",""
"17-290","2017-02-17 12:30:00 +0200","Midi Musical","Grand-Théâtre de Bordeaux","","",""
"18-292","2017-02-18 09:30:00 +0200","Visites À Tous Les Étages !","Grand-Théâtre de Bordeaux","Visite et travaux pratiques ","","dès 7 ans"
"18-294","2017-02-18 11:00:00 +0200","Visites À Tous Les Étages !","Grand-Théâtre de Bordeaux","Visite et travaux pratiques ","","dès 7 ans"
"18-296","2017-02-18 20:00:00 +0200","Quatuor Arod","Grand-Théâtre de Bordeaux","Pièces pour violoncelle","",""
"23-298","2017-02-23 20:00:00 +0200","Low / Heroes","Auditorium de l'Opéra de Bordeaux","Philip Glass / David Bowie","",""
"24-300","2017-02-24 20:30:00 +0200","Low / Heroes","Tarbes","","",""
"28-302","2017-02-28 18:00:00 +0200","A Propos De La Sérénade Op. 44 De Dvořák","Grand Théâtre - Salon Fouquet","","",""
"1-304","2017-03-01 17:30:00 +0200","Devoir De Mémoire","Bordeaux","","",""
"2-306","2017-03-02 20:00:00 +0200","Dvořák / Soler","Auditorium de l'Opéra de Bordeaux","ONBA / Paul Daniel","",""
"3-308","2017-03-03 19:00:00 +0200","Dvořák / Soler","Auditorium de l'Opéra de Bordeaux","ONBA / Paul Daniel","",""
"5-310","2017-03-05 11:00:00 +0200","Musiciens De l’ONBA","Grand-Théâtre de Bordeaux","Autour des Ballets russes ","",""
"5-312","2017-03-05 16:00:00 +0200","Dvořák / Soler","Périgueux","","",""
"7-314","2017-03-07 18:00:00 +0200","Le Mythe d’Orphée En Musique","Grand Théâtre - Salon Fouquet","","",""
"9-316","2017-03-09 20:30:00 +0200","Sextet De Jazz De l’ONBA","Aire-sur-l'Adour","","",""
"10-318","2017-03-10 19:00:00 +0200","Sextet De Jazz De l’ONBA","Auditorium de l'Opéra de Bordeaux","Sonny Rollins, George Gershwin, Miles Davis, Cole Porter…","",""
"11-320","2017-03-11 18:00:00 +0200","Brahms / Tchaïkovski / Paganini","Soustons","","",""
"11-322","2017-03-11 18:00:00 +0200","Rencontre Avec Les Artistes : Orfeo","Grand-Théâtre de Bordeaux","","",""
"11-324","2017-03-11 20:00:00 +0200","Nabulio Sur Les Pas De Napoléon","Auditorium de l'Opéra de Bordeaux","Acquaviva / Coulais ","",""
"11-326","2017-03-11 20:00:00 +0200","Orfeo","Grand-Théâtre de Bordeaux","Luigi Rossi","",""
"12-328","2017-03-12 15:00:00 +0200","Orfeo","Grand-Théâtre de Bordeaux","Luigi Rossi","",""
"13-330","2017-03-13 18:00:00 +0200","Autour Du Double Concerto De Brahms","Grand Théâtre - Salon Fouquet","","",""
"14-332","2017-03-14 20:00:00 +0200","Orfeo","Grand-Théâtre de Bordeaux","Luigi Rossi","",""
"15-334","2017-03-15 20:00:00 +0200","Orfeo","Grand-Théâtre de Bordeaux","Luigi Rossi","",""
"16-336","2017-03-16 20:00:00 +0200","Bizet / Poulenc / Ravel","Auditorium de l'Opéra de Bordeaux","ONBA / Marc Minkowski / Annick Massis","",""
"17-338","2017-03-17 20:30:00 +0200","Bizet / Poulenc / Ravel","La Rochelle","","",""
"18-340","2017-03-18 11:00:00 +0200","Hänsel Et Gretel","Grand-Théâtre, Salon Boireau","","","dès 6 ans"
"18-342","2017-03-18 15:00:00 +0200","Cosima, Divine Maîtresse De Bayreuth","Grand-Théâtre, Salon Lalande","","",""
"18-344","2017-03-18 15:00:00 +0200","Hänsel Et Gretel","Grand-Théâtre, Salon Boireau","","","dès 6 ans"
"19-346","2017-03-19 16:00:00 +0200","Brahms / Tchaïkovski / Paganini","Bergerac","","",""
"22-348","2017-03-22 20:00:00 +0200","Ravel Et Le Jazz","Auditorium de l'Opéra de Bordeaux","Take Jazz Seriously","",""
"23-350","2017-03-23 20:30:00 +0200","Ravel Et Le Jazz","Anglet","","",""
"24-352","2017-03-24 19:00:00 +0200","Vivaldi, Credo, Gloria Magnificat","Auditorium de l'Opéra de Bordeaux","avec 4 solistes","",""
"24-354","2017-03-24 20:30:00 +0200","Ravel Et Le Jazz","Marciac","","",""
"26-356","2017-03-26 15:00:00 +0200","Matthieu Arama / Aurélien Pontier","Auditorium de l'Opéra de Bordeaux","","",""
"28-358","2017-03-28 18:00:00 +0200","Autour Du Double Concerto De Brahms","Grand Théâtre - Salon Fouquet","","",""
"29-360","2017-03-29 17:30:00 +0200","Redécouverte d’André Messager","Bordeaux","","",""
"30-362","2017-03-30 18:00:00 +0200","Rencontre Avec Les Artistes : Les Pêcheurs De Perles","Grand-Théâtre de Bordeaux","","",""
"30-364","2017-03-30 20:00:00 +0200","4 Tendances 6e Édition","Grand-Théâtre de Bordeaux","Le Riche / Wiest / Gallotta / Naharin","",""
"30-366","2017-03-30 20:00:00 +0200","Brahms","Auditorium de l'Opéra de Bordeaux","ONBA / Nathalie Stutzmann / Alexandra Soumm / Aurélienne Brauner","",""
"31-368","2017-03-31 00:00:00 +0200","Anna Bolena","Milan","","31 mars - 23 avril 2017",""
"31-370","2017-03-31 12:30:00 +0200","David Bizic","Grand-Théâtre de Bordeaux","Midi musical avec le soliste des Pêcheurs de perles","",""
"31-372","2017-03-31 19:00:00 +0200","Brahms","Auditorium de l'Opéra de Bordeaux","ONBA / Nathalie Stutzmann / Alexandra Soumm / Aurélienne Brauner","",""
"31-374","2017-03-31 20:00:00 +0200","4 Tendances 6e Édition","Grand-Théâtre de Bordeaux","Le Riche / Wiest / Gallotta / Naharin","",""
"31-376","2017-03-31 20:30:00 +0200","Les Grands Airs d’Opéra","Agen","","",""
"2-378","2017-04-02 10:30:00 +0200","Visites À Tous Les Étages !","Grand-Théâtre de Bordeaux","Visite du bâtiment… et de ses habitants","","dès 7 ans"
"2-380","2017-04-02 11:00:00 +0200","Musiciens De l’ONBA","Auditorium de l'Opéra de Bordeaux","","",""
"2-382","2017-04-02 15:00:00 +0200","4 Tendances 6e Édition","Grand-Théâtre de Bordeaux","Le Riche / Wiest / Gallotta / Naharin","",""
"2-384","2017-04-02 17:00:00 +0200","Brahms","Arcachon","","",""
"3-386","2017-04-03 20:00:00 +0200","4 Tendances 6e Édition","Grand-Théâtre de Bordeaux","Le Riche / Wiest / Gallotta / Naharin","",""
"4-388","2017-04-04 18:00:00 +0200","A Propos De Bernard Herrmann","Grand Théâtre - Salon Fouquet","","",""
"4-390","2017-04-04 20:00:00 +0200","4 Tendances 6e Édition","Grand-Théâtre de Bordeaux","Le Riche / Wiest / Gallotta / Naharin","",""
"5-392","2017-04-05 20:00:00 +0200","4 Tendances 6e Édition","Grand-Théâtre de Bordeaux","Le Riche / Wiest / Gallotta / Naharin","",""
"6-394","2017-04-06 20:00:00 +0200","4 Tendances 6e Édition","Grand-Théâtre de Bordeaux","Le Riche / Wiest / Gallotta / Naharin","",""
"6-396","2017-04-06 20:00:00 +0200","Psychose","Auditorium de l'Opéra de Bordeaux","Alfred Hitchcock / Bernard Herrmann","","dès 12 ans"
"7-398","2017-04-07 19:00:00 +0200","Psychose","Auditorium de l'Opéra de Bordeaux","Alfred Hitchcock / Bernard Herrmann","","dès 12 ans"
"7-400","2017-04-07 20:00:00 +0200","4 Tendances 6e Édition","Grand-Théâtre de Bordeaux","Le Riche / Wiest / Gallotta / Naharin","",""
"8-402","2017-04-08 14:00:00 +0200","2e Concours International De Chant Robert Massard","Bordeaux","","",""
"8-404","2017-04-08 20:00:00 +0200","Mikhail Rudy","Auditorium de l'Opéra de Bordeaux","","",""
"9-406","2017-04-09 14:30:00 +0200","2e Concours International De Chant Robert Massard","Grand-Théâtre de Bordeaux","","",""
"9-408","2017-04-09 20:00:00 +0200","Yo-Yo Ma / Kathryn Stott","Auditorium de l'Opéra de Bordeaux","Bach / Sibelius / Schubert…","",""
"10-410","2017-04-10 20:00:00 +0200","Brockes-Passion","Grand-Théâtre de Bordeaux","Ensemble Pygmalion / Raphaël Pichon","",""
"11-412","2017-04-11 20:30:00 +0200","4 Tendances, 6e Édition","Saint-Pierre-du-Mont","","",""
"12-414","2017-04-12 18:00:00 +0200","Autour Du Concerto Pour Piano En Sol De Ravel","Grand Théâtre - Salon Fouquet","","",""
"13-416","2017-04-13 20:00:00 +0200","Franck / Ravel / Probst Stravinski","Auditorium de l'Opéra de Bordeaux","ONBA / Jean-Claude Casadesus / Alexandre Tharaud","",""
"14-418","2017-04-14 19:00:00 +0200","Franck / Ravel / Probst Stravinski","Auditorium de l'Opéra de Bordeaux","ONBA / Jean-Claude Casadesus / Alexandre Tharaud","",""
"15-420","2017-04-15 00:00:00 +0200","Gala Petipa","Turquie","","",""
"15-422","2017-04-15 00:00:00 +0200","Le Tour d’Écrou","Limoges","","15 avril - 15 mai 2017",""
"16-424","2017-04-16 00:00:00 +0200","Gala Petipa","Turquie","","",""
"19-426","2017-04-19 00:00:00 +0200","Bizet / Poulenc / Ravel","Aix-en-Provence","","",""
"21-428","2017-04-21 12:30:00 +0200","Sebastien Droy","Grand-Théâtre de Bordeaux","","",""
"22-430","2017-04-22 15:00:00 +0200","La Défense d’Aimer, Opéra Méconnu De Richard Wagner","Grand-Théâtre, Salon Lalande","","",""
"30-432","2017-04-30 16:00:00 +0200","4 Tendances, 6e Édition","Biarritz","","",""
"2-434","2017-05-02 18:00:00 +0200","Les Pêcheurs De Perles De Bizet","Grand Théâtre - Salon Fouquet","","",""
"5-436","2017-05-05 20:00:00 +0200","Juliette Et Roméo","Auditorium de l'Opéra de Bordeaux","Ensemble Agora","","dès 9 ans"
"7-438","2017-05-07 11:00:00 +0200","Quintette De Cuivres De l’ONBA","Auditorium de l'Opéra de Bordeaux","","",""
"9-440","2017-05-09 18:00:00 +0200","Rencontre Avec Les Artistes : Les Pêcheurs De Perles","Grand-Théâtre de Bordeaux","","",""
"9-442","2017-05-09 20:00:00 +0200","Les Pêcheurs De Perles","Grand-Théâtre de Bordeaux","Georges Bizet","",""
"10-444","2017-05-10 20:00:00 +0200","Bobby Mcferrin","Auditorium de l'Opéra de Bordeaux","Jazz vocal","",""
"11-446","2017-05-11 20:00:00 +0200","Les Pêcheurs De Perles","Grand-Théâtre de Bordeaux","Georges Bizet","",""
